tendon_8_sent,tendon_8_read,tendon_1_sent,tendon_1_read,tendon_14_sent,tendon_14_read,tendon_5_sent,tendon_5_read,tendon_2_sent,tendon_2_read,tendon_11_sent,tendon_11_read
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.356527046616312e-05,0.0,0.0,0.0,2.713054093232624e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.026670000000000003,1.356527046616312e-05,0.0,0.0,0.026670000000000003,2.713054093232624e-05
0.026670000000000003,0.0036300663767452513,0.009942000000000001,0.0012702781719691769,0.026670000000000003,0.0017526329442282753,0.026670000000000003,0.01111199130235752,0.012384,0.0018084211490043485,0.026670000000000003,0.006267154955367362
0.026670000000000003,0.022417965972381174,0.009942000000000001,0.009113436789501795,0.026670000000000003,0.01805605325398642,0.026670000000000003,0.02636613794155795,0.012384,0.011500260929274432,0.026670000000000003,0.022597705806057834
0.026670000000000003,0.026503825436789506,0.009942000000000001,0.00921002243076219,0.026670000000000003,0.02653163424124514,0.026670000000000003,0.026490260166323342,0.012384,0.012231880979629205,0.026670000000000003,0.02647669489585718
0.0,0.026503825436789506,0.009942000000000001,0.00921002243076219,0.026670000000000003,0.02653163424124514,0.0,0.024557887388418406,0.012384,0.012231880979629205,0.0,0.026462451361867707
0.0,0.018138801403830018,0.0,0.009168556343938355,0.0,0.024723383688105595,0.0,0.007951283283741513,0.0,0.011375857175555046,0.0,0.01982292973220417
0.0,0.0017804417486839096,0.0,0.0003175695429922942,0.0,0.009911464866102084,0.0,5.493934538796064e-05,0.0,0.0008834241245136185,0.0,0.00368568398565652
0.0,2.713054093232624e-05,0.0,0.0,0.0,6.850461585412377e-05,0.0,1.356527046616312e-05,0.0,1.3542687113756008e-05,0.0,2.713054093232624e-05
0.0,2.713054093232624e-05,0.0,0.0,0.0,1.356527046616312e-05,0.026670000000000003,0.0005934805828946365,0.0,1.3542687113756008e-05,0.0,2.713054093232624e-05
0.026670000000000003,0.0037406233310444807,0.009942000000000001,0.001435889677271687,0.026670000000000003,0.0004415495536736096,0.026670000000000003,0.014369691004806595,0.012384,0.0006487891966124971,0.026670000000000003,0.0037270580605783176
0.026670000000000003,0.02132731822690166,0.009942000000000001,0.00921002243076219,0.026670000000000003,0.013652088197146564,0.026670000000000003,0.026448886091401544,0.012384,0.011017133440146485,0.026670000000000003,0.021313752956435495
0.026670000000000003,0.026503825436789506,0.009942000000000001,0.00921002243076219,0.026670000000000003,0.02643532082093538,0.026670000000000003,0.026490260166323342,0.012384,0.012231880979629205,0.026670000000000003,0.026462451361867707
0.026670000000000003,0.026503825436789506,0.009942000000000001,0.00921002243076219,0.026670000000000003,0.02653163424124514,0.0,0.025703474479285882,0.012384,0.012231880979629205,0.026670000000000003,0.026462451361867707
0.0,0.023273934538796066,0.0,0.00901659830624857,0.0,0.02484750591287099,0.0,0.011042808422980088,0.0,0.012204480659189745,0.0,0.022431531242847337
0.0,0.005839170672159916,0.0,0.00038659540703440916,0.0,0.008462015716792556,0.0,0.00028961852445258266,0.0,0.003975880979629205,0.0,0.004872645151445793
