timestamp,counter,servo_1_sent,servo_1_read,servo_2_sent,servo_2_read,servo_5_sent,servo_5_read,servo_8_sent,servo_8_read,servo_11_sent,servo_11_read,servo_14_sent,servo_14_read,servo_0_sent,servo_0_read,servo_16_sent,servo_16_read,servo_17_sent,servo_17_read,servo_20_sent,servo_20_read,servo_23_sent,servo_23_read,servo_26_sent,servo_26_read,servo_29_sent,servo_29_read,servo_15_sent,servo_15_read
1756403492.53965,5,0,0,0,0,0,20,0,24952,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403492.79861,10,0,0,0,0,0,20,0,1058,39321,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403493.03266,15,0,0,0,0,0,20,0,40,39321,9240,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403493.26542,20,0,0,0,0,0,20,0,20,39321,33317,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403493.53382,25,0,0,0,0,0,20,0,20,39321,39036,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403493.82558,30,0,0,0,0,0,20,0,20,0,39015,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403494.06512,35,0,0,0,0,0,20,0,20,0,29226,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403494.29904,40,0,0,0,0,0,20,0,20,0,5434,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403494.53317,45,0,0,0,0,0,20,0,20,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403494.75408,50,0,0,0,0,0,20,0,20,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403495.00277,55,0,0,0,0,0,20,0,20,39321,5495,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403495.23865,60,0,0,0,0,0,20,0,20,39321,31424,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403495.49355,65,0,0,0,0,0,20,0,20,39321,39015,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403495.76035,70,0,0,0,0,0,20,0,20,39321,39015,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403496.00615,75,0,0,0,0,0,20,0,20,0,33072,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403496.25192,80,0,0,0,0,0,20,0,20,0,7184,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403496.49705,85,0,0,0,0,0,20,0,20,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403496.74195,90,0,0,0,0,0,20,0,20,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403496.98509,95,0,0,0,0,0,20,0,20,39321,4843,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403497.22841,100,0,0,0,0,0,20,0,20,39321,30650,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403497.47759,105,0,0,0,0,0,20,0,20,39321,38995,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403497.72544,110,0,0,0,0,0,20,0,20,39321,39015,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403497.97434,115,0,0,0,0,0,20,0,20,0,36899,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403498.22307,120,0,0,0,0,0,20,0,20,0,10725,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403498.47286,125,0,0,0,0,0,20,0,20,0,61,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403498.70397,130,0,0,0,0,0,20,0,20,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403498.94161,135,0,0,0,0,0,20,0,20,39321,2340,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403499.19027,140,0,0,0,0,0,20,0,20,39321,26193,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403499.42453,145,0,0,0,0,0,20,0,20,39321,38995,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403499.67173,150,0,0,0,0,0,20,0,20,39321,39015,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403499.91065,155,0,0,0,0,0,20,0,20,0,38527,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403500.1599,160,0,0,0,0,0,20,0,20,0,18520,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403500.41003,165,0,0,0,0,0,20,0,20,0,203,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403500.65494,170,0,0,0,0,0,20,0,20,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403500.88795,175,0,0,0,0,0,20,0,20,39321,956,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403501.13362,180,0,0,0,0,0,20,0,20,39321,21736,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403501.37548,185,0,0,0,0,0,20,0,20,39321,38812,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403501.63462,190,0,0,0,0,0,20,0,20,39321,39015,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403501.87787,195,0,0,0,0,0,20,0,20,0,38445,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403502.11214,200,0,0,0,0,0,20,0,20,0,21085,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403502.35699,205,0,0,0,0,0,20,0,20,0,915,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403502.6074,210,0,0,0,0,0,20,0,20,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403502.85118,215,0,0,0,0,0,20,0,20,39321,81,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403503.08535,220,0,0,0,0,0,20,0,20,39321,11926,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403503.32778,225,0,0,0,0,0,20,0,20,39321,36329,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403503.57892,230,0,0,0,0,0,20,0,20,39321,38995,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403503.81931,235,0,0,0,0,0,20,0,20,0,38995,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403504.0619,240,0,0,0,0,0,20,0,20,0,29409,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403504.31365,245,0,0,0,0,0,20,0,20,0,4090,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403504.55383,250,0,0,0,0,0,20,0,20,0,20,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403504.81358,255,0,0,0,0,0,20,0,20,39321,20,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
