timestamp,counter,servo_1_sent,servo_1_read,servo_2_sent,servo_2_read,servo_5_sent,servo_5_read,servo_8_sent,servo_8_read,servo_11_sent,servo_11_read,servo_14_sent,servo_14_read,servo_0_sent,servo_0_read,servo_16_sent,servo_16_read,servo_17_sent,servo_17_read,servo_20_sent,servo_20_read,servo_23_sent,servo_23_read,servo_26_sent,servo_26_read,servo_29_sent,servo_29_read,servo_15_sent,servo_15_read
1756403453.81791,5,0,0,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403454.05853,10,0,0,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403454.28973,15,0,0,0,0,0,20,39321,5352,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403454.56532,20,0,0,0,0,0,20,39321,33052,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403454.83498,25,0,0,0,0,0,20,39321,39076,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403455.10577,30,0,0,0,0,0,20,0,39076,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403455.38395,35,0,0,0,0,0,20,0,26743,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403455.61719,40,0,0,0,0,0,20,0,2625,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403455.84951,45,0,0,0,0,0,20,0,40,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403456.08585,50,0,0,0,0,0,20,0,40,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403456.32396,55,0,0,0,0,0,20,39321,5515,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403456.57402,60,0,0,0,0,0,20,39321,31444,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403456.81203,65,0,0,0,0,0,20,39321,39076,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403457.05795,70,0,0,0,0,0,20,39321,39076,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403457.30396,75,0,0,0,0,0,20,0,34314,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403457.54163,80,0,0,0,0,0,20,0,8609,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403457.80508,85,0,0,0,0,0,20,0,20,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403458.04248,90,0,0,0,0,0,20,0,20,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
